国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
中非2014,2014,297,39.959,334.1145508,3.475,33.98562172,
乍得,2014,111247,22.372,960.44092,-675.546,50.64757656,
赞比亚,2014,203020,41.382,1644.10679,1488.7,6.779609272,
乌干达,2014,111751,21.504,676.3376331,1058.565,25.0743798,
突尼斯,2014,11717,67.772,4302.486544,1063.805,9.153358544,
坦桑尼亚,2014,206965,30.904,846.3868415,1416.1,25.80257745,
索马里,2014,49,42.679,,261,,
苏丹,2014,181811,33.689,1825.541037,1251.281,31.85123541,
斯威士兰,2014,0,23.149,4578.28857,25.533,9.235634116,
圣多美和普林西比,2014,102,69.213,1213.164082,27.1,11.65955435,
塞舌尔,2014,7511,54.969,12850.4932,229.96,2.369696687,
塞内加尔,2014,35526,45.436,1337.40669,402.562,13.36879795,
塞拉利昂,2014,17881,40.432,567.834267,375.09,51.79252867,
尼日利亚,2014,453165,46.982,2563.899969,4693.83,19.99025477,
尼日尔,2014,88152,16.219,384.9006562,821.872,36.70579346,
南非,2014,39980,64.312,7582.696929,5770.659,2.174706761,
纳米比亚,2014,36489,45.826,6154.488886,441.174,6.689280673,
莫桑比克,2014,81471,33.878,558.2093443,4901.79,23.93493466,
摩洛哥,2014,60700,60.256,3125.079481,3561.241,11.6606655,
毛里塔尼亚,2014,29174,50.203,1369.187945,501.038,21.9065478,
毛里求斯,2014,15105,41.111,9163.633473,455.562,3.259178395,
马里,2014,34099,39.196,706.981554,144.023,37.456764,
马拉维,2014,9016,16.132,507.537975,387.105,28.70269876,
马达加斯加,2014,13812,34.534,468.1130008,313.682,25.84538293,
卢旺达,2014,23564,16.967,688.2121987,458.9,28.75457721,
利比亚,2014,15616,79.009,6530.856715,0,0,
利比里亚,2014,20577,49.397,586.2293608,276.7,35.76752545,
莱索托,2014,13011,26.502,1389.875532,65.809,5.621144991,
肯尼亚,2014,169556,25.221,1060.095016,820.938,27.45094081,
科特迪瓦,2014,35319,49.014,1377.796563,438.773,21.05143674,
科摩罗,2014,3640,28.338,1369.176631,4.679,30.01153359,
喀麦隆,2014,123886,53.976,1400.387017,726.548,14.22619681,
津巴布韦,2014,30581,32.504,1232.864865,544.8,8.745304229,
加蓬,2014,77985,87.651,9467.363786,1047.703,3.62120477,
加纳,2014,153439,53.419,1626.622783,3356.99,19.99969979,
几内亚(比绍),2014,2326,41.715,555.6050487,28.853,41.13234659,
几内亚,2014,60925,34.836,741.0381352,77.06,17.52381638,
吉布提,2014,36871,77.314,,152.998,1.22656246,
刚果(金),2014,144968,42.18,397.3416705,1843.173,18.56251731,
刚果(布),2014,253189,65.085,3005.736912,1659.45,4.834284371,
冈比亚,2014,496,58.528,747.7087319,35.6,22.45883917,
佛得角,2014,4424,63.81,3422.748802,180.433,8.015767498,
厄立特里亚,2014,12010,,,46.511,,
多哥,2014,25395,39.579,612.1489724,53.948,25.6848698,
赤道几内亚,2014,207670,70.083,16146.07243,167.875,1.294248772,
布隆迪,2014,6789,11.776,245.3267387,47.061,34.95819234,
布基纳法索,2014,2585,26.934,639.7080956,355.93,31.36401132,
博茨瓦纳,2014,29025,66.368,7864.253281,515.184,2.087683863,
贝宁,2014,25616,45.166,1140.447754,405.198,25.61845297,
